Date,port_ret,VaR,ES,exceed
2016-06-07,0.0026578109047771248,-0.009352965605836067,-0.01299184716908887,0
2016-06-08,0.005617797917865597,-0.009352965605836067,-0.01299184716908887,0
2016-06-09,-0.0024927030202593903,-0.009352965605836067,-0.01299184716908887,0
2016-06-10,-0.009961940629199195,-0.009352965605836067,-0.01299184716908887,1
2016-06-13,-0.005684084284873714,-0.00940543808355028,-0.01300713492055426,0
2016-06-14,-0.0032758217345939533,-0.00940543808355028,-0.01300713492055426,0
2016-06-15,0.0035749276913702444,-0.00940543808355028,-0.01300713492055426,0
2016-06-16,2.081373873313863e-05,-0.00940543808355028,-0.01300713492055426,0
2016-06-17,-0.0004736600116364009,-0.00940543808355028,-0.01300713492055426,0
2016-06-20,0.0059495454682779725,-0.00940543808355028,-0.01300713492055426,0
2016-06-21,-0.0006419687790878981,-0.009352965605836067,-0.01284598019851073,0
2016-06-22,-0.00026010315937979867,-0.00924452516899818,-0.012287190335721529,0
2016-06-23,0.009766639158555912,-0.00924452516899818,-0.012287190335721529,0
2016-06-24,-0.023836355092387962,-0.009046759393611187,-0.012254411074742939,1
2016-06-27,-0.00869901240608334,-0.00924452516899818,-0.012639275841273181,0
2016-06-28,0.013325231550669558,-0.00924452516899818,-0.012639275841273181,0
2016-06-29,0.01202549747359899,-0.00924452516899818,-0.012639275841273181,0
2016-06-30,0.010051843802321492,-0.00924452516899818,-0.012639275841273181,0
2016-07-01,0.006807415878434975,-0.00924452516899818,-0.012639275841273181,0
2016-07-05,-0.005651855483964463,-0.00924452516899818,-0.012639275841273181,0
2016-07-06,0.003267303039710401,-0.00924452516899818,-0.012639275841273181,0
2016-07-07,-0.0007423686427779352,-0.00924452516899818,-0.012639275841273181,0
2016-07-08,0.013573308871116185,-0.00924452516899818,-0.012639275841273181,0
2016-07-11,0.002990723687619379,-0.00924452516899818,-0.012639275841273181,0
2016-07-12,0.0017587249749066447,-0.00924452516899818,-0.012639275841273181,0
2016-07-13,0.001938134910049072,-0.00924452516899818,-0.012639275841273181,0
