,SPY,QQQ,IWM,EFA,EEM,TLT,LQD,GLD,leverage_hint,ESloss_SPY,ESloss_QQQ,ESloss_IWM,ESloss_EFA,ESloss_EEM,ESloss_TLT,ESloss_LQD,ESloss_GLD,k_SPY,k_QQQ,k_IWM,k_EFA,k_EEM,k_TLT,k_LQD,k_GLD,method_SPY,method_QQQ,method_IWM,method_EFA,method_EEM,method_TLT,method_LQD,method_GLD
2016-05-31,0.11749490182247538,0.09878387766867891,0.09796788364487335,0.10015214504718181,0.08605638647511632,0.12092393132491526,0.2896934064483411,0.0889274675684178,1.8090254586258305,0.019188932243094592,0.022823579749951348,0.02301368189347953,0.022511766561948178,0.026199121324161828,0.018644793344690005,0.007782716692181871,0.025353265662782055,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2016-06-30,0.11721338415837776,0.0990150297321199,0.09734073416187368,0.09422465518487778,0.08508701987842142,0.12287265714802541,0.29364497968901804,0.09060154004728614,1.8231807675015188,0.019497395296710938,0.02308089682126077,0.02347789653199732,0.02425432791998061,0.02685904017165733,0.018599383606134157,0.007782716692181871,0.025224247665198287,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2016-07-29,0.11723286714873894,0.0988559644653924,0.09733401170861691,0.09448185368023594,0.08523521137310237,0.12330987948888308,0.2932680408146093,0.09028217132042113,1.8160099777464909,0.019499576548306093,0.023124464763524873,0.02348604795811428,0.024195029816846465,0.026819799354256338,0.018538589741711048,0.0077948870957587,0.02532051714652503,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2016-08-31,0.11717784542980675,0.09880956770632751,0.0973928558423683,0.09424935637440779,0.08519520733705549,0.1242144899704486,0.2928423624211143,0.09011831491847135,1.8124624106442657,0.019499576548306093,0.023124464763524873,0.023460841629105406,0.02424333125042471,0.026819799354256338,0.018394942226689432,0.007802554069818385,0.02535465037036285,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2016-09-30,0.11616688058254787,0.09856276355643813,0.09697464546517165,0.09515757271398013,0.08455249752748754,0.1262329626260566,0.29182362645102505,0.09052905107729296,1.794953177429457,0.01975892291258029,0.02328802841563133,0.023669407889197695,0.024121384908846702,0.027146831915630686,0.018183304825261926,0.007865478427294834,0.02535465037036285,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2016-10-31,0.11765144246850875,0.09951811680928743,0.09700920178922574,0.09489073984936978,0.08391901467925691,0.1262292679737456,0.29135555976313415,0.08942665666747164,1.7834496225453018,0.01948924404145297,0.02304040457770946,0.02363629049417036,0.02416397719880313,0.02732321968818944,0.018164865493592492,0.007869895038082816,0.025640427133756104,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2016-11-30,0.11923246469147944,0.10043463180270064,0.09865397225130125,0.09606905556428116,0.08381671886371306,0.12277257913489459,0.28926427557691287,0.08975630211471693,1.7870161141329302,0.019469617391308803,0.023113645427865443,0.02353083626731737,0.02416397719880313,0.027696269904581697,0.01890821618738843,0.008025223521072508,0.02586348159930722,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2016-12-30,0.11930153400588642,0.10024905526784074,0.09868264749152489,0.09629794512512355,0.08330552671707989,0.12336202764861984,0.2887123478954699,0.09008891584845485,1.7762899581106208,0.01946400136341831,0.023163163127517067,0.02353083626731737,0.024113549022580873,0.0278743237340624,0.018823338630284327,0.008042902347180504,0.025775481907836677,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2017-01-31,0.1193348443572453,0.10051145294140039,0.09868312813498442,0.09624652397022859,0.08325928786597084,0.12341538745228318,0.28851046341032843,0.09003891186755884,1.7718562504044952,0.019447767802804862,0.023089869621093047,0.023517660898112656,0.024113040638864457,0.0278743237340624,0.018804756779140425,0.00804406300004051,0.025775481907836677,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2017-02-28,0.11959347393156515,0.10015665793953735,0.09918075146786208,0.09697284843370817,0.08306705121589389,0.12328012156902267,0.2878443240951877,0.08990477134722309,1.7683005461931902,0.019360904914851193,0.02311816233548401,0.023345637565329883,0.023877177113227007,0.0278743237340624,0.01878192402600276,0.00804406300004051,0.025754338090503197,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
