src,dst,weight_pct,date
SPY,QQQ,19.626099770809958,2013-01-28
SPY,IWM,19.64393209439227,2013-01-28
SPY,EFA,18.802061540900212,2013-01-28
SPY,EEM,18.270485463794,2013-01-28
SPY,TLT,13.254274754328849,2013-01-28
SPY,LQD,2.3907795855667797,2013-01-28
SPY,GLD,0.8817459407305318,2013-01-28
QQQ,SPY,18.009277822793095,2013-01-28
QQQ,IWM,17.87586835684354,2013-01-28
QQQ,EFA,16.02586080743467,2013-01-28
QQQ,EEM,15.935906073261325,2013-01-28
QQQ,TLT,10.60110391492331,2013-01-28
QQQ,LQD,1.9045685022859309,2013-01-28
QQQ,GLD,0.5849625196134586,2013-01-28
IWM,SPY,18.239263964192475,2013-01-28
IWM,QQQ,18.099268975523653,2013-01-28
IWM,EFA,16.351498940119168,2013-01-28
IWM,EEM,16.41108702323322,2013-01-28
IWM,TLT,10.739021842790745,2013-01-28
IWM,LQD,1.7405163810957327,2013-01-28
IWM,GLD,0.8877047728263482,2013-01-28
EFA,SPY,17.48665108670631,2013-01-28
EFA,QQQ,16.106405373098756,2013-01-28
EFA,IWM,16.33764038697795,2013-01-28
EFA,EEM,18.61278950832653,2013-01-28
EFA,TLT,11.517178013031137,2013-01-28
EFA,LQD,1.3416756074117075,2013-01-28
EFA,GLD,2.294079754197218,2013-01-28
EEM,SPY,16.641481162114104,2013-01-28
EEM,QQQ,15.728290214589972,2013-01-28
EEM,IWM,16.08277739666472,2013-01-28
EEM,EFA,18.226052179438373,2013-01-28
EEM,TLT,10.666360897555597,2013-01-28
EEM,LQD,1.0566045534036839,2013-01-28
EEM,GLD,3.7174633159490815,2013-01-28
TLT,SPY,8.648693494345046,2013-01-28
TLT,QQQ,7.603044215651532,2013-01-28
TLT,IWM,7.5738076068105205,2013-01-28
TLT,EFA,8.002980929509171,2013-01-28
TLT,EEM,7.575449543314646,2013-01-28
TLT,LQD,24.95596881920896,2013-01-28
TLT,GLD,0.5419888565467165,2013-01-28
LQD,SPY,0.3774615028044458,2013-01-28
LQD,QQQ,0.32555798240555184,2013-01-28
LQD,IWM,0.2421623743508728,2013-01-28
LQD,EFA,0.17790923322460267,2013-01-28
LQD,EEM,0.06667930253134226,2013-01-28
LQD,TLT,11.880766413645112,2013-01-28
LQD,GLD,2.5036299069828347,2013-01-28
GLD,SPY,0.17806841532008616,2013-01-28
GLD,QQQ,0.2018622166582992,2013-01-28
GLD,IWM,0.23897602447574498,2013-01-28
GLD,EFA,0.5498746269499467,2013-01-28
GLD,EEM,0.921297915354527,2013-01-28
GLD,TLT,0.22573398336252137,2013-01-28
GLD,LQD,1.6492562704472107,2013-01-28
SPY,QQQ,19.641149713744642,2013-02-04
SPY,IWM,19.639635433327875,2013-02-04
SPY,EFA,18.78295933793065,2013-02-04
SPY,EEM,18.262325153319644,2013-02-04
SPY,TLT,13.313070720256528,2013-02-04
SPY,LQD,2.400052081586471,2013-02-04
SPY,GLD,0.8260784675525734,2013-02-04
QQQ,SPY,18.044791702149805,2013-02-04
QQQ,IWM,17.897589291888675,2013-02-04
QQQ,EFA,16.048012108654728,2013-02-04
QQQ,EEM,15.98144467337641,2013-02-04
QQQ,TLT,10.661362673315889,2013-02-04
QQQ,LQD,1.9601446727821739,2013-02-04
QQQ,GLD,0.5408088912967318,2013-02-04
IWM,SPY,18.21616234611038,2013-02-04
IWM,QQQ,18.084010303982193,2013-02-04
IWM,EFA,16.308183536703858,2013-02-04
IWM,EEM,16.40393366858434,2013-02-04
IWM,TLT,10.74017677530925,2013-02-04
IWM,LQD,1.7493377980031037,2013-02-04
IWM,GLD,0.8326557908036767,2013-02-04
EFA,SPY,17.462916916208503,2013-02-04
EFA,QQQ,16.09716466952449,2013-02-04
EFA,IWM,16.307653930174094,2013-02-04
EFA,EEM,18.617103944311157,2013-02-04
EFA,TLT,11.586414180586495,2013-02-04
EFA,LQD,1.3527777465392337,2013-02-04
EFA,GLD,2.2014280886065527,2013-02-04
EEM,SPY,16.629828134835428,2013-02-04
EEM,QQQ,15.74987423414464,2013-02-04
EEM,IWM,16.08742534114181,2013-02-04
EEM,EFA,18.232345789532477,2013-02-04
EEM,TLT,10.652779128007769,2013-02-04
EEM,LQD,1.0166679733399362,2013-02-04
EEM,GLD,3.592370944694295,2013-02-04
TLT,SPY,8.707023882576546,2013-02-04
TLT,QQQ,7.648527991218361,2013-02-04
TLT,IWM,7.602987227721735,2013-02-04
TLT,EFA,8.073805670501663,2013-02-04
TLT,EEM,7.5926810907489335,2013-02-04
TLT,LQD,24.917445793057112,2013-02-04
TLT,GLD,0.5601901600921974,2013-02-04
LQD,SPY,0.3725897098263379,2013-02-04
LQD,QQQ,0.3204267748223118,2013-02-04
LQD,IWM,0.2361054164554269,2013-02-04
LQD,EFA,0.17618415765892861,2013-02-04
LQD,EEM,0.05949361479448641,2013-02-04
LQD,TLT,11.821818473517585,2013-02-04
LQD,GLD,2.578046440840735,2013-02-04
GLD,SPY,0.15761022068810923,2013-02-04
