date,TCI,TO_SPY,FROM_SPY,NET_SPY,TO_QQQ,FROM_QQQ,NET_QQQ,TO_IWM,FROM_IWM,NET_IWM,TO_EFA,FROM_EFA,NET_EFA,TO_EEM,FROM_EEM,NET_EEM,TO_TLT,FROM_TLT,NET_TLT,TO_LQD,FROM_LQD,NET_LQD,TO_GLD,FROM_GLD,NET_GLD
2020-04-06,100.0,115.8897186972363,100.0,15.8897186972363,106.29988855074618,100.0,6.299888550746169,91.24039828217064,100.0,-8.759601717829357,162.66410542195894,100.00000000000003,62.66410542195891,63.40524007837076,100.0,-36.59475992162924,108.3851636326701,99.99999999999997,8.385163632670123,75.57662974315616,100.0,-24.423370256843835,76.53885559369095,100.0,-23.461144406309042
2020-04-07,100.0,114.6402721208174,99.99999999999999,14.64027212081741,107.00329654821472,100.0,7.003296548214721,91.25192033337648,100.0,-8.748079666623521,163.7899664417959,100.00000000000003,63.78996644179588,62.99224517315807,99.99999999999999,-37.00775482684192,108.55695652806128,100.0,8.556956528061278,75.36682660572593,100.0,-24.633173394274067,76.39851624885021,99.99999999999999,-23.601483751149775
2020-04-08,99.99999999999999,146.5111790248323,100.0,46.5111790248323,93.9121469842928,100.0,-6.087853015707189,82.73279696459691,100.0,-17.26720303540309,136.11448690438095,100.0,36.114486904380946,69.66124789410277,100.0,-30.33875210589723,110.1978467728966,100.0,10.19784677289659,74.19494426495503,99.99999999999999,-25.805055735044956,86.67535118994257,100.0,-13.324648810057427
2020-04-09,100.0,136.79528966702932,100.0,36.795289667029316,104.64017728334515,100.0,4.640177283345159,70.27143963184017,100.0,-29.72856036815983,137.17717271845214,100.0,37.177172718452134,96.47372773131448,99.99999999999999,-3.526272268685504,92.13917555787881,100.0,-7.860824442121183,78.50403116736419,100.0,-21.495968832635803,83.99898624277576,99.99999999999999,-16.001013757224236
2020-04-13,99.99999999999999,132.76666799214289,100.0,32.76666799214289,112.26474523897936,100.0,12.264745238979359,77.5038302621706,99.99999999999999,-22.496169737829398,130.3143467081061,99.99999999999999,30.3143467081061,95.22951686166714,100.0,-4.770483138332871,87.98799528593536,100.0,-12.01200471406464,75.79237975706148,100.0,-24.20762024293852,88.14051789393704,99.99999999999999,-11.859482106062947
2020-04-14,100.0,133.28070079462134,100.0,33.28070079462133,114.08708741812686,100.0,14.087087418126853,77.39562039510416,100.0,-22.60437960489584,132.07820265939299,100.0,32.078202659392986,93.65905906546625,100.0,-6.340940934533745,84.36525687019368,100.0,-15.634743129806328,76.70112840040939,100.00000000000003,-23.298871599590633,88.43294439668534,100.0,-11.567055603314657
2020-04-15,100.0,131.52928371522162,100.00000000000003,31.529283715221588,113.23504305535769,100.0,13.235043055357698,77.8905617629378,100.0,-22.109438237062196,136.1093286446418,100.0,36.109328644641806,93.87114173077948,100.00000000000003,-6.1288582692205384,83.58556657970637,100.0,-16.414433420293626,78.94755590057909,100.0,-21.05244409942091,84.83151861077613,99.99999999999999,-15.168481389223853
2020-04-16,100.0,135.74230915190836,100.0,35.742309151908344,112.95474979001354,100.0,12.954749790013542,78.03052802880029,99.99999999999999,-21.969471971199706,135.13680322857212,99.99999999999999,35.13680322857212,93.7493609014797,100.0,-6.250639098520294,78.68685577411156,100.0,-21.313144225888436,82.41328691562462,100.0,-17.586713084375372,83.28610620948989,100.0,-16.713893790510113
2020-04-17,100.0,134.05269203784337,99.99999999999999,34.05269203784337,115.0089862262528,100.0,15.008986226252796,80.37734100864962,100.0,-19.622658991350374,132.1470895454104,100.0,32.14708954541041,92.14512372352121,100.0,-7.8548762764787945,77.27950144656751,99.99999999999999,-22.720498553432478,81.12566422733707,99.99999999999997,-18.87433577266291,87.86360178441794,100.0,-12.136398215582055
2020-04-20,99.99999999999999,135.71473277877573,100.0,35.714732778775726,115.79120645263737,100.0,15.791206452637363,77.86133245324427,100.0,-22.13866754675573,132.86720020752966,100.0,32.86720020752967,91.9139782258583,100.0,-8.086021774141706,77.16256133743173,100.0,-22.837438662568278,81.77271983035477,100.0,-18.227280169645223,86.91626871416818,99.99999999999999,-13.083731285831812
2020-04-21,99.99999999999999,135.22232302571803,100.0,35.22232302571804,117.47276155291446,100.0,17.472761552914463,78.15821703032655,100.0,-21.84178296967344,132.59347265693248,99.99999999999999,32.5934726569325,91.25609357280874,100.0,-8.743906427191261,77.14771841395995,100.0,-22.852281586040046,81.46031307775904,99.99999999999999,-18.53968692224095,86.68910066958072,100.0,-13.310899330419279
2020-04-22,100.0,133.49874646400158,100.0,33.49874646400157,118.1616175521752,100.0,18.1616175521752,81.35092295253484,100.0,-18.649077047465155,131.93338244913394,100.00000000000003,31.93338244913393,90.2629844610136,100.0,-9.737015538986393,76.80431933342568,100.0,-23.195680666574315,81.97934045003883,99.99999999999999,-18.02065954996116,86.00868633767632,99.99999999999999,-13.991313662323668
2020-04-23,100.0,135.9569857259261,99.99999999999997,35.95698572592614,119.9337987522824,99.99999999999999,19.933798752282417,79.58498892718146,99.99999999999997,-20.415011072818523,130.85285022819136,99.99999999999999,30.852850228191365,90.11245698857925,100.0,-9.88754301142074,77.15959079201681,100.0,-22.840409207983182,83.12983966557736,100.0,-16.870160334422636,83.26948892024517,100.0,-16.730511079754827
2020-04-24,100.0,139.50689686388267,100.0,39.506896863882666,118.72370854567276,99.99999999999997,18.72370854567278,83.88856172261143,100.0,-16.11143827738857,129.91878857890217,100.0,29.918788578902177,84.76860794819795,100.0,-15.23139205180205,73.90036643754408,100.0,-26.099633562455914,87.23385658083976,100.0,-12.766143419160247,82.0592133223492,100.0,-17.94078667765081
2020-04-27,100.0,146.16231554255847,100.0,46.162315542558474,121.80155435540416,100.0,21.801554355404164,77.68787601544754,99.99999999999997,-22.312123984552436,128.78731084266747,99.99999999999999,28.78731084266747,80.20896077351603,100.0,-19.791039226483974,66.52174712076378,100.0,-33.47825287923622,95.9724300383875,100.0,-4.027569961612498,82.85780531125508,99.99999999999999,-17.142194688744915
2020-04-28,99.99999999999999,144.57376517977133,99.99999999999999,44.57376517977133,124.6769673969223,100.0,24.67696739692229,79.40484351720536,100.0,-20.59515648279463,128.02289521935373,100.0,28.022895219353728,79.55665769325631,100.0,-20.443342306743684,66.55751527890361,100.0,-33.44248472109639,94.38835752080159,99.99999999999997,-5.6116424791983865,82.81899819378576,100.0,-17.181001806214248
2020-04-29,100.0,144.39667387166068,100.0,44.39667387166069,123.36143332496965,100.00000000000003,23.361433324969628,72.11477305117047,100.00000000000003,-27.885226948829544,134.2944139533512,100.0,34.294413953351196,80.66846842275649,100.0,-19.33153157724351,68.80226937257217,100.0,-31.197730627427834,91.4131349922581,100.0,-8.586865007741906,84.94883301126126,99.99999999999997,-15.051166988738718
2020-04-30,99.99999999999999,146.81960898337812,100.0,46.81960898337812,124.50052141250501,100.0,24.500521412505005,72.18218717685751,100.00000000000003,-27.817812823142518,135.09343919215743,100.0,35.09343919215744,79.12430551819698,100.0,-20.87569448180302,70.62051539526483,100.0,-29.37948460473516,92.21844997715704,100.0,-7.781550022842964,79.44097234448306,100.0,-20.55902765551695
2020-05-01,100.0,149.13944068490247,100.0,49.13944068490248,126.31187195558276,100.0,26.311871955582756,67.12410566855067,100.0,-32.87589433144933,136.40929803309513,99.99999999999999,36.40929803309515,76.93695165134902,100.0,-23.063048348650984,71.90982416788763,100.00000000000003,-28.090175832112386,88.84673710855938,100.0,-11.153262891440619,83.32177073007294,100.0,-16.67822926992706
2020-05-04,100.0,151.7515782861008,100.0,51.751578286100795,130.15883549094028,100.0,30.158835490940273,62.92418673204567,100.0,-37.07581326795433,137.1159938379799,100.0,37.1159938379799,74.97206941449326,100.0,-25.02793058550674,72.00949771202056,100.0,-27.990502287979435,86.86590331812171,100.0,-13.134096681878294,84.20193520829781,99.99999999999999,-15.79806479170217
2020-05-05,100.0,152.69967378342045,100.0,52.699673783420444,131.1435044431585,100.0,31.1435044431585,62.60585312683904,100.0,-37.39414687316096,136.52355392222097,100.0,36.52355392222098,74.45438825274898,100.0,-25.54561174725102,71.80782966003368,99.99999999999999,-28.192170339966317,87.6875303753462,100.0,-12.312469624653799,83.07766643623218,100.0,-16.922333563767822
2020-05-06,100.0,145.70941406470772,100.0,45.70941406470772,131.36447887615134,100.0,31.364478876151324,62.60082032075721,100.0,-37.39917967924279,139.73827563142075,100.0,39.73827563142076,76.04867635443496,100.0,-23.951323645565036,75.88968804511961,99.99999999999999,-24.11031195488037,85.51724953945812,100.0,-14.482750460541883,83.13139716795028,100.0,-16.868602832049717
2020-05-07,99.99999999999999,149.25840864923558,100.0,49.25840864923556,133.37959195262948,99.99999999999999,33.379591952629504,61.11880163219028,100.0,-38.88119836780972,139.16610365868152,99.99999999999999,39.16610365868153,71.71766771363643,100.0,-28.282332286363566,73.72695228698495,99.99999999999997,-26.273047713015018,81.86709018131285,100.0,-18.13290981868716,89.76538392532886,100.0,-10.234616074671143
2020-05-08,100.0,147.57952828681135,100.0,47.57952828681135,132.90937073395662,99.99999999999999,32.90937073395664,61.64879270753262,100.0,-38.35120729246738,138.79389814180124,100.0,38.79389814180123,72.42952994359358,100.0,-27.57047005640643,71.46789370049042,100.0,-28.532106299509586,84.24233842378219,100.0,-15.757661576217806,90.92864806203202,100.0,-9.071351937967975
